City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port elizabeth,-33.918,25.5701,288.2,81,0,1.54,ZA,1689382951
84,sandnessjoen,66.0217,12.6316,283.44,79,100,5.86,NO,1689382995
85,uige,-7.6087,15.0613,291.18,50,69,1.64,AO,1689382995
86,bethel,41.3712,-73.414,298.02,79,99,1.25,US,1689382995
87,praia da vitoria,38.7333,-27.0667,293.29,83,20,4.78,PT,1689382995
88,sakiai,54.9547,23.0358,284.05,95,0,1.9,LT,1689382996
89,kralendijk,12.15,-68.2667,302.14,79,20,7.72,BQ,1689382996
90,new norfolk,-42.7826,147.0587,281.87,76,51,4.78,AU,1689382996
91,longyearbyen,78.2186,15.6401,285.06,50,0,5.14,SJ,1689382996
92,qaqortoq,60.7167,-46.0333,279.91,89,92,0.87,GL,1689382996
93,saudarkrokur,65.7461,-19.6394,277.58,96,100,5.66,IS,1689382997
94,boca suno,-0.7167,-77.1333,294.89,99,100,0.5,EC,1689382997
95,vila velha,-20.3297,-40.2925,294.23,78,100,5.14,BR,1689382997
96,bisbee,31.4482,-109.9284,304.26,36,95,3.13,US,1689382997
97,husiatyn,49.0726,26.2141,285.58,100,11,1.84,UA,1689382997
98,yeghegnadzor,39.7639,45.3324,291.36,73,4,1.87,AM,1689382997
99,serdar,38.9764,56.2757,300.04,31,5,2.17,TM,1689382998
100,kone,-21.0595,164.8658,296.56,49,66,4.56,NC,1689382998
101,marcala,14.15,-88.0333,296.86,90,30,2.48,HN,1689382998
102,bogotol,56.2078,89.5342,291.63,89,100,3.8,RU,1689382998
103,hermanus,-34.4187,19.2345,287.42,76,0,3.45,ZA,1689382998
104,murray bridge,-35.1167,139.2667,284.89,88,100,4.54,AU,1689382999
105,ambovombe,-25.1667,46.0833,290.18,64,0,5.95,MG,1689382999
106,port mathurin,-19.6833,63.4167,296.77,82,100,7.15,MU,1689382899
107,st. john's,47.5649,-52.7093,291.81,89,75,5.66,CA,1689382853
108,kingston,17.997,-76.7936,303.68,72,20,9.26,JM,1689382999
109,sittwe,20.15,92.9,299.26,87,7,4.34,MM,1689382999
110,reggane,26.7158,0.1714,308.0,7,0,6.49,DZ,1689383000
111,retreat,38.8245,-85.8533,301.37,69,0,3.2,US,1689383000
112,cannonvale,-20.2833,148.7,295.81,62,0,6.98,AU,1689383000
113,keflavik,64.0049,-22.5624,282.1,81,75,10.29,IS,1689383000
114,barah,13.7,30.3667,303.26,50,58,6.69,SD,1689383000
115,south hedland,-20.4089,118.5983,294.11,40,0,8.75,AU,1689383000
116,la ronge,55.1001,-105.2842,290.29,48,75,3.6,CA,1689383001
117,crane,31.3974,-102.3501,309.93,19,61,9.15,US,1689383001
118,kashgar,39.4547,75.9797,299.71,22,0,5.0,CN,1689383001
119,salinopolis,-0.6136,-47.3561,299.61,82,14,5.28,BR,1689382968
120,lefka,35.1106,32.8506,302.49,32,11,2.44,CY,1689383001
121,bambanglipuro,-7.95,110.2833,298.34,82,56,4.77,ID,1689383001
122,dubrovnik,42.6481,18.0922,294.95,88,0,1.03,HR,1689382855
123,baardheere,2.3446,42.2764,296.63,78,84,5.31,SO,1689383002
124,les cayes,18.2,-73.75,300.26,77,100,1.05,HT,1689383002
125,oytal,42.9057,73.2697,296.85,33,0,1.55,KZ,1689383002
126,greymouth,-42.4667,171.2,285.91,80,81,3.75,NZ,1689382838
127,laojunmiao,39.8333,97.7333,297.72,19,3,1.79,CN,1689383002
128,bangassou,4.7413,22.8184,293.86,98,100,0.87,CF,1689383003
129,novo aripuana,-5.1206,-60.3797,297.79,82,61,0.76,BR,1689383003
130,vernon,50.2581,-119.2691,307.2,29,98,2.24,CA,1689383003
131,jackson,42.4165,-122.8345,311.51,21,0,3.6,US,1689383003
132,constantia,44.1833,28.65,295.76,66,83,3.76,RO,1689382871
133,rio segundo,-31.6526,-63.9099,282.24,65,85,4.34,AR,1689383004
134,chonchi,-42.6128,-73.8092,277.1,94,32,1.23,CL,1689383004
135,san agustin,20.5333,-103.4667,299.77,44,40,5.14,MX,1689383004
136,talnakh,69.4865,88.3972,280.49,61,96,4.57,RU,1689383004
137,kapuskasing,49.4169,-82.4331,294.2,83,75,4.63,CA,1689382953
138,stewartville,43.8555,-92.4885,298.22,62,40,4.12,US,1689382781
139,svobodnyy,51.4,128.1333,299.83,42,100,0.76,RU,1689383005
140,sisimiut,66.9395,-53.6735,282.41,78,100,2.47,GL,1689383005
141,bansud,12.865,121.4564,301.04,77,100,3.38,PH,1689383006
142,khandyga,62.6667,135.6,287.68,93,100,0.89,RU,1689383006
143,el granada,37.5027,-122.4694,306.44,82,100,8.75,US,1689383006
144,geraldton,-28.7667,114.6,283.38,76,0,6.69,AU,1689383006
145,nyurba,63.2842,118.3319,276.27,98,100,5.68,RU,1689383006
146,philadelphia,39.9523,-75.1638,301.21,75,75,3.09,US,1689382981
147,zhumysker,49.3333,49.4,295.39,54,100,1.48,KZ,1689383007
148,afaahiti,-17.75,-149.2833,301.08,67,0,2.63,PF,1689383007
149,baoying,33.2292,119.3092,299.1,87,100,2.51,CN,1689383007
150,isabel segunda,18.1491,-65.4427,302.52,92,98,0.89,PR,1689383007
151,hawaiian paradise park,19.5933,-154.9731,300.95,67,40,5.66,US,1689383008
152,nelson bay,-32.7167,152.15,292.65,60,12,0.89,AU,1689383008
153,acapulco de juarez,16.8634,-99.8901,301.47,76,30,1.55,MX,1689382816
154,playas,-2.6333,-80.3833,298.02,83,35,5.05,EC,1689383008
155,ribeira grande,38.5167,-28.7,293.58,83,20,5.36,PT,1689383008
156,karbala,32.616,44.0249,305.72,18,0,4.12,IQ,1689383009
157,sao joao do paraiso,-15.3136,-42.0144,293.38,42,48,1.24,BR,1689383009
158,acajutla,13.5928,-89.8275,300.38,82,100,1.93,SV,1689382841
159,merizo village,13.2658,144.6691,304.25,81,49,7.33,GU,1689383009
160,valparaiso,-33.0393,-71.6273,288.15,62,100,8.6,CL,1689382824
161,san patricio,28.017,-97.5169,305.47,70,0,7.57,US,1689383009
162,margaret river,-33.95,115.0667,283.55,74,9,4.01,AU,1689383010
163,moapa valley,36.5805,-114.4703,317.51,5,0,1.31,US,1689383010
164,karkira,36.9292,6.5856,300.08,62,0,2.7,DZ,1689383010
165,lompoc,34.6391,-120.4579,300.23,81,100,7.15,US,1689383010
166,kulhudhuffushi,6.6221,73.07,300.76,78,19,4.06,MV,1689383010
167,carutapera,-1.195,-46.02,297.61,93,10,2.54,BR,1689383010
168,punta arenas,-53.15,-70.9167,274.21,80,0,4.63,CL,1689383011
169,porangatu,-13.4408,-49.1486,296.94,40,6,2.33,BR,1689383011
170,cidreira,-30.1811,-50.2056,282.71,78,89,3.11,BR,1689383011
171,tolanaro,-25.0319,46.9987,292.19,72,75,1.54,MG,1689383011
172,lagos,6.5833,3.75,297.69,93,100,2.0,NG,1689383011
173,baotou,40.6522,109.8222,295.81,31,0,3.44,CN,1689383011
174,denton holme,54.8849,-2.9434,288.86,86,83,4.44,GB,1689383012
175,hamilton,39.1834,-84.5333,301.58,60,0,2.57,US,1689383012
176,krasnoarmeysk,51.0239,45.6969,287.99,96,100,3.74,RU,1689383012
177,ishigaki,24.3448,124.1572,301.22,94,75,2.57,JP,1689383012
178,nova vicosa,-17.8919,-39.3719,296.44,80,100,7.53,BR,1689383013
179,alipur,29.3846,70.9116,307.06,49,0,7.84,PK,1689383013
180,yangjiang,21.85,111.9667,302.19,75,100,2.46,CN,1689383013
181,lucea,18.451,-78.1736,304.07,79,6,5.26,JM,1689383013
182,remire-montjoly,4.9167,-52.2667,298.17,94,75,1.54,GF,1689383014
183,mazamari,-11.3258,-74.5308,297.17,71,65,0.56,PE,1689383014
184,atafu village,-8.5421,-172.5159,301.48,74,83,3.93,TK,1689383014
185,ma'rib,15.4591,45.3253,302.32,17,21,2.52,YE,1689383014
186,kalmunai,7.4167,81.8167,300.03,77,100,2.49,LK,1689383014
187,inhambane,-23.865,35.3833,291.83,68,100,2.03,MZ,1689383014
188,kerikeri,-35.2268,173.9474,291.99,73,36,1.34,NZ,1689383014
189,jayapura,-2.5333,140.7,302.81,64,42,1.0,ID,1689383015
190,mena,51.5217,32.2157,286.55,92,1,3.02,UA,1689383015
191,djambala,-2.5447,14.7533,297.12,41,13,0.54,CG,1689383015
192,kurchatov,51.6601,35.6521,289.38,94,93,3.85,RU,1689383015
193,port hedland,-20.3167,118.5667,294.18,40,0,8.75,AU,1689382958
194,tazovsky,67.4667,78.7,282.82,67,8,1.73,RU,1689383016
195,floro,61.5996,5.0328,287.13,82,10,4.12,NO,1689382998
196,kota kinabalu,5.9749,116.0724,302.14,70,20,3.6,MY,1689383016
197,sanctuary point,-35.1114,150.629,293.26,46,100,4.02,AU,1689383016
198,purepero de echaiz,19.9167,-102.0167,293.7,58,27,1.91,MX,1689383016
199,klyuchi,52.2667,79.1667,299.54,48,0,3.96,RU,1689382876
200,pariaman,-0.619,100.12,295.18,78,100,1.09,ID,1689383017
201,mugia,43.1041,-9.2179,290.88,83,100,6.93,ES,1689383017
202,mbanza-ngungu,-5.25,14.8667,293.77,54,0,2.97,CD,1689383017
203,smidovich,48.6,133.8167,292.65,79,100,3.76,RU,1689383017
204,manga,11.6636,-1.0731,299.64,68,98,3.14,BF,1689383017
205,ca mau,9.1769,105.15,301.97,75,100,4.74,VN,1689383017
206,sos'va,59.1766,61.8558,284.48,97,100,5.12,RU,1689383018
207,carnarvon,-24.8667,113.6333,287.8,59,0,10.61,AU,1689383018
208,okha,53.5739,142.9478,290.4,61,0,5.34,RU,1689383018
209,nagqu,31.5,92.0,279.99,76,100,1.11,CN,1689383018
210,port saint john's,-31.6229,29.5448,288.5,64,100,2.2,ZA,1689383018
211,aykhal,66.0,111.5,279.86,52,81,6.24,RU,1689383018
212,revda,56.801,59.9303,285.08,99,100,3.23,RU,1689383019
213,arraial do cabo,-22.9661,-42.0278,293.59,61,100,7.72,BR,1689383019
214,sumeg,46.977,17.2821,293.18,87,12,2.58,HU,1689383019
215,kupang,-10.1667,123.5833,300.05,63,57,5.57,ID,1689383019
216,homer,59.6425,-151.5483,293.08,66,75,6.26,US,1689383019
217,college,64.8569,-147.8028,295.14,60,75,5.14,US,1689382801
218,nowshahr,36.649,51.496,296.12,94,75,2.06,IR,1689383019
